Title,Price,Rating,Availability
"A Light in the Attic",5177,3,"In stock"
"Tipping the Velvet",5374,1,"In stock"
"Soumission",5010,1,"In stock"
"Sharp Objects",4782,4,"In stock"
"Sapiens: A Brief History of Humankind",5423,5,"In stock"
"The Requiem Red",2265,1,"In stock"
"The Dirty Little Secrets of Getting Your Dream Job",3334,4,"In stock"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist  Victoria Woodhull",1793,3,"In stock"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",2260,4,"In stock"
"The Black Maria",5215,1,"In stock"
"Starving Hearts (Triangular Trade Trilogy  #1)",1399,2,"In stock"
"Shakespeare&#39;s Sonnets",2066,4,"In stock"
"Set Me Free",1746,5,"In stock"
"Scott Pilgrim&#39;s Precious Little Life (Scott Pilgrim #1)",5229,5,"In stock"
"Rip it Up and Start Again",3502,5,"In stock"
"Our Band Could Be Your Life: Scenes from the American Indie Underground  1981-1991",5725,3,"In stock"
"Olio",2388,1,"In stock"
"Mesaerion: The Best Science Fiction Stories 1800-1849",3759,1,"In stock"
"Libertarianism for Beginners",5133,2,"In stock"
"It&#39;s Only the Himalayas",4517,2,"In stock"
"In Her Wake",1284,1,"In stock"
"How Music Works",3732,2,"In stock"
"Foolproof Preserving: A Guide to Small Batch Jams  Jellies  Pickles  Condiments  and More: A Foolproof Guide to Making Small Batch Jams  Jellies  Pickles  Condiments  and More",3052,3,"In stock"
"Chase Me (Paris Nights #2)",2527,5,"In stock"
"Black Dust",3453,5,"In stock"
"Birdsong: A Story in Pictures",5464,3,"In stock"
"America&#39;s Cradle of Quarterbacks: Western Pennsylvania&#39;s Football Factory from Johnny Unitas to Joe Montana",2250,3,"In stock"
"Aladdin and His Wonderful Lamp",5313,3,"In stock"
"Worlds Elsewhere: Journeys Around Shakespeareâ€™s Globe",4030,5,"In stock"
"Wall and Piece",4418,4,"In stock"
"The Four Agreements: A Practical Guide to Personal Freedom",1766,5,"In stock"
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate",3105,3,"In stock"
"The Elephant Tree",2382,5,"In stock"
"The Bear and the Piano",3689,1,"In stock"
"Sophie&#39;s World",1594,5,"In stock"
"Penny Maybe",3329,3,"In stock"
"Maude (1883-1993):She Grew Up with the country",1802,2,"In stock"
"In a Dark  Dark Wood",1963,1,"In stock"
"Behind Closed Doors",5222,4,"In stock"
"You can&#39;t bury them all: Poems",3363,2,"In stock"
